station_id,station_name,city,state,latitude,longitude,status,openaq_location_id,openaq_location_name,available_sensors,is_trained_station,is_active
GJ001,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,23.02579,72.58727,Active,5631,"Maninagar, Ahmedabad - GPCB","[{""id"": 12235666, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 14996, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12235667, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 12235668, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 14991, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 14340876, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 14986, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12235669, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12235670, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 35977, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 14964, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235671, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235672, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 12235673, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 14963, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12235674, ""name"": ""temperature c"", ""parameter"": {""id"": 100, ""name"": ""temperature"", ""units"": ""c"", ""displayName"": ""Temperature (C)""}}, {""id"": 14340877, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14340878, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
MZ001,"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,Mizoram,23.72894,92.71791,Active,7880,"Sikulpuikawn, Aizawl - Mizoram PCB","[{""id"": 12236263, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 22852, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12236264, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 12236265, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 22851, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 14340985, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 12236266, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 22850, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 22849, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 12236267, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 12236268, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 22848, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12236269, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 22847, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12236270, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 14342038, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14342039, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.514,80.516,Active,5408,"Secretariat, Amaravati - APPCB","[{""id"": 12234943, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 12234944, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 12234945, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 14340731, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 12234946, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12234947, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 12234948, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12234949, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 12234950, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 12234951, ""name"": ""temperature c"", ""parameter"": {""id"": 100, ""name"": ""temperature"", ""units"": ""c"", ""displayName"": ""Temperature (C)""}}, {""id"": 14340732, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14340733, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
PB001,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,31.62234,74.87534,Active,5551,"Golden Temple, Amritsar - PPCB","[{""id"": 15062, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12235438, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 12235439, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 12235440, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 15067, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 14341834, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 12235441, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 14659, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12235442, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 15083, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 15088, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235443, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235444, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 12235445, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 15108, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12235446, ""name"": ""temperature c"", ""parameter"": {""id"": 100, ""name"": ""temperature"", ""units"": ""c"", ""displayName"": ""Temperature (C)""}}, {""id"": 14341835, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14341836, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,12.97194,77.59369,Active,5548,"BTM Layout, Bengaluru - CPCB","[{""id"": 14657, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12235356, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 12235357, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 12235358, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 14639, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 14341816, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 14658, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12235359, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12235360, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 1305377, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 14635, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235361, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235362, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 14642, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12235363, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 12235364, ""name"": ""temperature c"", ""parameter"": {""id"": 100, ""name"": ""temperature"", ""units"": ""c"", ""displayName"": ""Temperature (C)""}}, {""id"": 14341817, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14341818, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
KA003,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,12.97194,77.59369,Active,5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB","[{""id"": 14637, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 14636, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 14640, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 1303004, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 14641, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 14634, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}]",True,True
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,12.97194,77.59369,Active,6974,"Bapuji Nagar, Bengaluru - KSPCB","[{""id"": 12235235, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 20153, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12235236, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 20169, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 12235237, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 14340793, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 12235238, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 20167, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12235239, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 20166, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 20165, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235240, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235241, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 12235242, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 20164, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12235243, ""name"": ""temperature c"", ""parameter"": {""id"": 100, ""name"": ""temperature"", ""units"": ""c"", ""displayName"": ""Temperature (C)""}}, {""id"": 14340794, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14340795, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
KA005,"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,12.97194,77.59369,Active,5574,"City Railway Station, Bengaluru - KSPCB","[{""id"": 14779, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12235374, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 12235375, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 14773, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 12235376, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 14340832, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 14775, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 12235377, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 14732, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12235378, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}]",True,True
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,12.97194,77.59369,Active,6984,"Hebbal, Bengaluru - KSPCB","[{""id"": 12235244, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 20224, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12235245, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 20222, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 12235246, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 14340796, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 12235247, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 20221, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 20213, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 12235248, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 12235249, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 20212, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235250, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 20210, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12235251, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 12235252, ""name"": ""temperature c"", ""parameter"": {""id"": 100, ""name"": ""temperature"", ""units"": ""c"", ""displayName"": ""Temperature (C)""}}, {""id"": 14340797, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14340798, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,12.97194,77.59369,Active,6983,"Hombegowda Nagar, Bengaluru - KSPCB","[{""id"": 12235253, ""name"": ""co ppb"", ""parameter"": {""id"": 102, ""name"": ""co"", ""units"": ""ppb"", ""displayName"": ""CO""}}, {""id"": 20195, ""name"": ""co µg/m³"", ""parameter"": {""id"": 4, ""name"": ""co"", ""units"": ""µg/m³"", ""displayName"": ""CO mass""}}, {""id"": 12235254, ""name"": ""no ppb"", ""parameter"": {""id"": 24, ""name"": ""no"", ""units"": ""ppb"", ""displayName"": ""NO""}}, {""id"": 20196, ""name"": ""no2 µg/m³"", ""parameter"": {""id"": 5, ""name"": ""no2"", ""units"": ""µg/m³"", ""displayName"": ""NO₂ mass""}}, {""id"": 12235255, ""name"": ""no2 ppb"", ""parameter"": {""id"": 15, ""name"": ""no2"", ""units"": ""ppb"", ""displayName"": ""NO₂""}}, {""id"": 14340799, ""name"": ""nox ppb"", ""parameter"": {""id"": 23, ""name"": ""nox"", ""units"": ""ppb"", ""displayName"": ""NOX""}}, {""id"": 12235256, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 20197, ""name"": ""o3 µg/m³"", ""parameter"": {""id"": 3, ""name"": ""o3"", ""units"": ""µg/m³"", ""displayName"": ""O₃ mass""}}, {""id"": 12235257, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 20198, ""name"": ""pm10 µg/m³"", ""parameter"": {""id"": 1, ""name"": ""pm10"", ""units"": ""µg/m³"", ""displayName"": ""PM10""}}, {""id"": 12235258, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 20199, ""name"": ""pm25 µg/m³"", ""parameter"": {""id"": 2, ""name"": ""pm25"", ""units"": ""µg/m³"", ""displayName"": ""PM2.5""}}, {""id"": 12235259, ""name"": ""relativehumidity %"", ""parameter"": {""id"": 98, ""name"": ""relativehumidity"", ""units"": ""%"", ""displayName"": ""RH""}}, {""id"": 20200, ""name"": ""so2 µg/m³"", ""parameter"": {""id"": 6, ""name"": ""so2"", ""units"": ""µg/m³"", ""displayName"": ""SO₂ mass""}}, {""id"": 12235260, ""name"": ""so2 ppb"", ""parameter"": {""id"": 101, ""name"": ""so2"", ""units"": ""ppb"", ""displayName"": ""SO₂""}}, {""id"": 12235261, ""name"": ""temperature c"", ""parameter"": {""id"": 100, ""name"": ""temperature"", ""units"": ""c"", ""displayName"": ""Temperature (C)""}}, {""id"": 14340800, ""name"": ""wind_direction deg"", ""parameter"": {""id"": 22, ""name"": ""wind_direction"", ""units"": ""deg"", ""displayName"": ""Wind direction""}}, {""id"": 14340801, ""name"": ""wind_speed m/s"", ""parameter"": {""id"": 34, ""name"": ""wind_speed"", ""units"": ""m/s"", ""displayName"": ""Wind speed""}}]",True,True
