stationid,city
GJ001,Ahmedabad
MZ001,Aizawl
AP001,Amaravati
PB001,Amritsar
KA002,Bengaluru
KA003,Bengaluru
KA004,Bengaluru
KA005,Bengaluru
KA006,Bengaluru
KA007,Bengaluru
KA008,Bengaluru
KA009,Bengaluru
KA010,Bengaluru
KA011,Bengaluru
MP001,Bhopal
CH001,Chandigarh
TN001,Chennai
TN002,Chennai
TN003,Chennai
TN004,Chennai
TN005,Coimbatore
DL001,Delhi
DL002,Delhi
DL003,Delhi
DL004,Delhi
DL005,Delhi
DL006,Delhi
DL007,Delhi
DL008,Delhi
DL009,Delhi
DL010,Delhi
DL012,Delhi
DL013,Delhi
DL014,Delhi
DL015,Delhi
DL016,Delhi
DL017,Delhi
DL018,Delhi
DL019,Delhi
DL020,Delhi
DL021,Delhi
DL022,Delhi
DL023,Delhi
DL024,Delhi
DL025,Delhi
DL026,Delhi
DL027,Delhi
DL028,Delhi
DL029,Delhi
DL030,Delhi
DL031,Delhi
DL032,Delhi
DL033,Delhi
DL034,Delhi
DL035,Delhi
DL036,Delhi
DL037,Delhi
DL038,Delhi
KL002,Ernakulam
HR011,Gurugram
HR012,Gurugram
HR013,Gurugram
HR014,Gurugram
AS001,Guwahati
TG001,Hyderabad
TG002,Hyderabad
TG003,Hyderabad
TG004,Hyderabad
TG005,Hyderabad
TG006,Hyderabad
RJ004,Jaipur
RJ005,Jaipur
RJ006,Jaipur
JH001,Jorapokhar
KL004,Kochi
WB007,Kolkata
WB008,Kolkata
WB009,Kolkata
WB010,Kolkata
WB011,Kolkata
WB012,Kolkata
WB013,Kolkata
UP012,Lucknow
UP013,Lucknow
UP014,Lucknow
UP015,Lucknow
UP016,Lucknow
MH005,Mumbai
MH006,Mumbai
MH007,Mumbai
MH008,Mumbai
MH009,Mumbai
MH010,Mumbai
MH011,Mumbai
MH012,Mumbai
MH013,Mumbai
MH014,Mumbai
BR005,Patna
BR006,Patna
BR007,Patna
BR008,Patna
BR009,Patna
BR010,Patna
ML001,Shillong
OD002,Talcher
KL007,Thiruvananthapuram
KL008,Thiruvananthapuram
AP005,Visakhapatnam
