station_id,city,latitude,longitude
UP001,Agra,27.18333,78.01667
GJ001,Ahmedabad,23.02579,72.58727
MZ001,Aizawl,23.72894,92.71791
RJ002,Ajmer,26.4521,74.63867
RJ001,Alwar,27.56246,76.625
AP001,Amaravati,16.514,80.516
HR001,Ambala,30.36099,76.79782
PB001,Amritsar,31.62234,74.87534
GJ002,Ankleshwar,21.63236,72.99001
WB001,Asansol,23.68333,86.98333
MH001,Aurangabad,19.87757,75.34226
KA001,Bagalkot,16.18673,75.69614
UP002,Baghpat,28.94485,77.21865
HR002,Bahadurgarh,28.69287,76.93555
HR003,Ballabgarh,28.33729,77.32633
PB002,Bathinda,30.20747,74.93893
KA002,Bengaluru,12.97194,77.59369
KA003,Bengaluru,12.97194,77.59369
KA004,Bengaluru,12.97194,77.59369
KA005,Bengaluru,12.97194,77.59369
KA006,Bengaluru,12.97194,77.59369
KA007,Bengaluru,12.97194,77.59369
KA008,Bengaluru,12.97194,77.59369
KA009,Bengaluru,12.97194,77.59369
KA010,Bengaluru,12.97194,77.59369
KA011,Bengaluru,12.97194,77.59369
RJ003,Bhiwandi,19.30023,73.05881
HR004,Bhiwani,28.79304,76.13968
MP001,Bhopal,23.25469,77.40289
UP003,Bulandshahr,28.40392,77.85773
CH001,Chandigarh,30.73629,76.7884
MH002,Chandrapur,19.95076,79.29523
MH003,Chandrapur,19.95076,79.29523
TN001,Chennai,13.08784,80.27847
TN002,Chennai,13.08784,80.27847
TN003,Chennai,13.08784,80.27847
TN004,Chennai,13.08784,80.27847
KA014,Chikkamagaluru,13.32231,75.774
TN005,Coimbatore,11.00555,76.96612
MP002,Damoh,23.83312,79.4419
DL001,Delhi,28.65195,77.23149
DL002,Delhi,28.65195,77.23149
DL003,Delhi,28.65195,77.23149
DL004,Delhi,28.65195,77.23149
DL005,Delhi,28.65195,77.23149
DL006,Delhi,28.65195,77.23149
DL007,Delhi,28.65195,77.23149
DL008,Delhi,28.65195,77.23149
DL009,Delhi,28.65195,77.23149
DL010,Delhi,28.65195,77.23149
DL011,Delhi,28.65195,77.23149
DL012,Delhi,28.65195,77.23149
DL013,Delhi,28.65195,77.23149
DL014,Delhi,28.65195,77.23149
DL015,Delhi,28.65195,77.23149
DL016,Delhi,28.65195,77.23149
DL017,Delhi,28.65195,77.23149
DL018,Delhi,28.65195,77.23149
DL019,Delhi,28.65195,77.23149
DL020,Delhi,28.65195,77.23149
DL021,Delhi,28.65195,77.23149
DL022,Delhi,28.65195,77.23149
DL023,Delhi,28.65195,77.23149
DL024,Delhi,28.65195,77.23149
DL025,Delhi,28.65195,77.23149
DL026,Delhi,28.65195,77.23149
DL027,Delhi,28.65195,77.23149
DL028,Delhi,28.65195,77.23149
DL029,Delhi,28.65195,77.23149
DL030,Delhi,28.65195,77.23149
DL031,Delhi,28.65195,77.23149
DL032,Delhi,28.65195,77.23149
DL033,Delhi,28.65195,77.23149
DL034,Delhi,28.65195,77.23149
DL035,Delhi,28.65195,77.23149
DL036,Delhi,28.65195,77.23149
DL037,Delhi,28.65195,77.23149
DL038,Delhi,28.65195,77.23149
MP003,Dewas,22.96585,76.05526
HR005,Dharuhera,28.20553,76.79691
WB002,Durgapur,23.51583,87.30801
KL002,Ernakulam,9.93988,76.26022
HR006,Faridabad,28.41124,77.31316
HR007,Faridabad,28.41124,77.31316
HR008,Faridabad,28.41124,77.31316
HR009,Faridabad,28.41124,77.31316
HR010,Fatehabad,29.51525,75.45554
GJ003,Gandhinagar,23.21667,72.68333
BR001,Gaya,24.79686,85.00385
BR002,Gaya,24.79686,85.00385
UP004,Ghaziabad,28.66535,77.43915
UP005,Ghaziabad,28.66535,77.43915
UP006,Ghaziabad,28.66535,77.43915
UP007,Ghaziabad,28.66535,77.43915
PB006,Gobindgarh,30.11748,73.64201
UP008,Greater Noida,28.49615,77.53601
UP009,Greater Noida,28.49615,77.53601
HR011,Gurugram,28.4601,77.02635
HR012,Gurugram,28.4601,77.02635
HR013,Gurugram,28.4601,77.02635
HR014,Gurugram,28.4601,77.02635
AS001,Guwahati,26.1844,91.7458
MP004,Gwalior,26.22983,78.17337
MP005,Gwalior,26.22983,78.17337
BR003,Hajipur,25.68544,85.20981
WB003,Haldia,22.06046,88.10975
UP010,Hapur,28.72985,77.78068
HR015,Hisar,29.15394,75.72294
WB004,Howrah,22.57688,88.31857
WB005,Howrah,22.57688,88.31857
WB006,Howrah,22.57688,88.31857
KA015,Hubballi,15.34776,75.13378
TG001,Hyderabad,17.38405,78.45636
TG002,Hyderabad,17.38405,78.45636
TG003,Hyderabad,17.38405,78.45636
TG004,Hyderabad,17.38405,78.45636
TG005,Hyderabad,17.38405,78.45636
TG006,Hyderabad,17.38405,78.45636
MP006,Indore,22.71792,75.8333
MP007,Jabalpur,23.16697,79.95006
RJ004,Jaipur,26.91962,75.78781
RJ005,Jaipur,26.91962,75.78781
RJ006,Jaipur,26.91962,75.78781
PB003,Jalandhar,31.32556,75.57917
HR016,Jind,29.31577,76.31502
RJ007,Jodhpur,26.26841,73.00594
JH001,Jorapokhar,22.41141,85.76497
HR017,Kaithal,29.80153,76.39959
KA016,Kalaburagi,17.33583,76.83757
MH004,Kalyan,19.2437,73.13554
KL003,Kannur,11.86752,75.35763
UP011,Kanpur,26.46523,80.34975
HR018,Karnal,29.69197,76.98448
MP008,Katni,57.98018,47.76721
PB004,Khanna,30.70547,76.22196
KL004,Kochi,33.55,133.53333
WB007,Kolkata,22.56263,88.36304
WB008,Kolkata,22.56263,88.36304
WB009,Kolkata,22.56263,88.36304
WB010,Kolkata,22.56263,88.36304
WB011,Kolkata,22.56263,88.36304
WB012,Kolkata,22.56263,88.36304
WB013,Kolkata,22.56263,88.36304
KL005,Kollam,8.88113,76.58469
