number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.7832344174385071,2026-04-11 11:26:47.246751,2026-04-11 11:39:36.920779,0 days 00:12:49.674028,0.17254716573280354,7,175,0.8394633936788146,COMPLETE
1,0.711290180683136,2026-04-11 11:39:36.921233,2026-04-11 11:47:45.653850,0 days 00:08:08.732617,0.015957084694148364,3,131,0.9464704583099741,COMPLETE
2,0.7853949069976807,2026-04-11 11:47:45.654186,2026-04-11 11:58:19.779920,0 days 00:10:34.125734,0.08341106432362087,3,220,0.9879639408647978,COMPLETE
3,0.7772459387779236,2026-04-11 11:58:19.780249,2026-04-11 12:15:18.879905,0 days 00:16:59.099656,0.018891200276189388,4,267,0.6733618039413735,COMPLETE
4,0.7932999730110168,2026-04-11 12:15:18.880267,2026-04-11 12:27:04.160635,0 days 00:11:45.280368,0.048164145309070844,5,161,0.7164916560792167,COMPLETE
5,0.7639579176902771,2026-04-11 12:27:04.160961,2026-04-11 12:42:47.499670,0 days 00:15:43.338709,0.01518747922672247,4,222,0.7465447373174767,COMPLETE
6,0.7891981601715088,2026-04-11 12:42:47.499973,2026-04-11 12:54:30.694225,0 days 00:11:43.194252,0.10508421338691762,4,191,0.8056937753654446,COMPLETE
7,0.7735962271690369,2026-04-11 12:54:30.694556,2026-04-11 13:13:38.903754,0 days 00:19:08.209198,0.011492999300221412,6,219,0.6682096494749166,COMPLETE
8,0.7808558344841003,2026-04-11 13:13:38.904261,2026-04-11 14:09:55.671596,0 days 00:56:16.767335,0.17160445029754812,8,113,0.9233589392465844,COMPLETE
9,0.7667670249938965,2026-04-11 14:09:55.672108,2026-04-11 15:28:56.726793,0 days 01:19:01.054685,0.013399060561509796,7,161,0.7760609974958406,COMPLETE
